City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
78,Vilkaviskis,LT,54.6517,23.0322,56.5,77,100,7.96,overcast clouds
79,Prince Rupert,CA,54.3161,-130.3201,69.89,87,100,13.8,overcast clouds
80,Kruisfontein,ZA,-34.0033,24.7314,50.18,78,17,13.96,light rain
81,Henties Bay,NA,-22.116,14.2845,54.54,87,54,11.99,broken clouds
82,Noumea,NC,-22.2763,166.4572,71.58,99,100,15.37,overcast clouds
83,Solnechnyy,RU,50.7214,136.6319,70.9,67,61,6.35,broken clouds
84,Sao Filipe,CV,14.8961,-24.4956,77.77,79,95,6.15,overcast clouds
85,Iqaluit,CA,63.7506,-68.5145,40.73,100,100,11.5,light rain
86,Puerto Ayora,EC,-0.7393,-90.3518,71.55,89,73,5.99,broken clouds
87,Butaritari,KI,3.0707,172.7902,81.18,72,98,16.49,overcast clouds
88,Geraldton,AU,-28.7667,114.6,48.61,87,37,12.66,scattered clouds
89,Saint George,US,37.1041,-113.5841,100.63,27,0,4.0,clear sky
90,Muros,ES,42.7762,-9.0603,70.09,67,0,11.61,clear sky
91,Ulladulla,AU,-35.35,150.4667,55.24,51,96,7.23,overcast clouds
92,Lima,PE,-12.0432,-77.0282,61.9,80,75,13.8,broken clouds
93,Huarmey,PE,-10.0681,-78.1522,63.19,81,61,8.1,broken clouds
94,Pacific Grove,US,36.6177,-121.9166,75.22,83,20,10.36,few clouds
95,Bagnolo Mella,IT,45.4291,10.1844,75.42,64,0,6.91,clear sky
96,Berlevag,NO,70.8578,29.0864,50.0,100,100,14.97,light intensity drizzle
97,Mogadishu,SO,2.0371,45.3438,75.42,80,98,16.73,overcast clouds
98,Pueblo Nuevo,MX,23.3833,-105.3833,62.56,88,100,0.36,overcast clouds
99,Yarkovo,RU,57.4028,67.0786,57.34,96,52,4.56,broken clouds
100,Sidi Ali,DZ,36.0998,0.4206,83.86,49,73,10.83,broken clouds
101,Bredasdorp,ZA,-34.5322,20.0403,45.9,87,85,5.59,overcast clouds
